# Completeness in stellar mass as a function of redshift
# SFH=exp. declining SFR; IMF=pseudo-kroupa; Z=Zsun=m62; dust=Calzetti, BC03
# Completeness estimated empirically using deeper samples (FIRES, FIREWORKS)
# z   lgM
    0.200000    8.355446
    0.203804    8.361440
    0.207608    8.367427
    0.211411    8.373407
    0.215215    8.379380
    0.219019    8.385346
    0.222823    8.391306
    0.226627    8.397259
    0.230430    8.403205
    0.234234    8.409144
    0.238038    8.415076
    0.241842    8.421002
    0.245646    8.426920
    0.249449    8.432832
    0.253253    8.438737
    0.257057    8.444635
    0.260861    8.450527
    0.264665    8.456411
    0.268468    8.462289
    0.272272    8.468160
    0.276076    8.474024
    0.279880    8.479881
    0.283684    8.485732
    0.287487    8.491575
    0.291291    8.497412
    0.295095    8.503242
    0.298899    8.509065
    0.302703    8.514881
    0.306507    8.520691
    0.310310    8.526494
    0.314114    8.532289
    0.317918    8.538078
    0.321722    8.543861
    0.325526    8.549636
    0.329329    8.555405
    0.333133    8.561166
    0.336937    8.566921
    0.340741    8.572669
    0.344545    8.578411
    0.348348    8.584145
    0.352152    8.589873
    0.355956    8.595593
    0.359760    8.601307
    0.363564    8.607014
    0.367367    8.612715
    0.371171    8.618408
    0.374975    8.624095
    0.378779    8.629775
    0.382583    8.635448
    0.386386    8.641114
    0.390190    8.646773
    0.393994    8.652426
    0.397798    8.658072
    0.401602    8.663711
    0.405405    8.669343
    0.409209    8.674968
    0.413013    8.680586
    0.416817    8.686198
    0.420621    8.691803
    0.424424    8.697401
    0.428228    8.702992
    0.432032    8.708576
    0.435836    8.714154
    0.439640    8.719724
    0.443443    8.725288
    0.447247    8.730845
    0.451051    8.736396
    0.454855    8.741939
    0.458659    8.747475
    0.462462    8.753005
    0.466266    8.758528
    0.470070    8.764044
    0.473874    8.769554
    0.477678    8.775056
    0.481481    8.780552
    0.485285    8.786040
    0.489089    8.791522
    0.492893    8.796998
    0.496697    8.802466
    0.500500    8.807927
    0.504304    8.813382
    0.508108    8.818830
    0.511912    8.824271
    0.515716    8.829705
    0.519520    8.835133
    0.523323    8.840553
    0.527127    8.845967
    0.530931    8.851374
    0.534735    8.856774
    0.538539    8.862167
    0.542342    8.867554
    0.546146    8.872933
    0.549950    8.878306
    0.553754    8.883672
    0.557558    8.889031
    0.561361    8.894384
    0.565165    8.899729
    0.568969    8.905068
    0.572773    8.910400
    0.576577    8.915725
    0.580380    8.921043
    0.584184    8.926354
    0.587988    8.931659
    0.591792    8.936957
    0.595596    8.942248
    0.599399    8.947532
    0.603203    8.952809
    0.607007    8.958079
    0.610811    8.963343
    0.614615    8.968600
    0.618418    8.973850
    0.622222    8.979093
    0.626026    8.984329
    0.629830    8.989559
    0.633634    8.994782
    0.637437    8.999998
    0.641241    9.005207
    0.645045    9.010409
    0.648849    9.015604
    0.652653    9.020793
    0.656456    9.025975
    0.660260    9.031150
    0.664064    9.036318
    0.667868    9.041479
    0.671672    9.046633
    0.675475    9.051781
    0.679279    9.056922
    0.683083    9.062056
    0.686887    9.067183
    0.690691    9.072303
    0.694494    9.077417
    0.698298    9.082524
    0.702102    9.087624
    0.705906    9.092717
    0.709710    9.097803
    0.713513    9.102882
    0.717317    9.107955
    0.721121    9.113021
    0.724925    9.118080
    0.728729    9.123132
    0.732533    9.128177
    0.736336    9.133215
    0.740140    9.138247
    0.743944    9.143272
    0.747748    9.148290
    0.751552    9.153301
    0.755355    9.158305
    0.759159    9.163303
    0.762963    9.168294
    0.766767    9.173278
    0.770571    9.178255
    0.774374    9.183225
    0.778178    9.188188
    0.781982    9.193145
    0.785786    9.198095
    0.789590    9.203038
    0.793393    9.207974
    0.797197    9.212903
    0.801001    9.217826
    0.804805    9.222741
    0.808609    9.227650
    0.812412    9.232552
    0.816216    9.237447
    0.820020    9.242336
    0.823824    9.247217
    0.827628    9.252092
    0.831431    9.256960
    0.835235    9.261821
    0.839039    9.266675
    0.842843    9.271523
    0.846647    9.276363
    0.850450    9.281197
    0.854254    9.286024
    0.858058    9.290844
    0.861862    9.295657
    0.865666    9.300464
    0.869469    9.305264
    0.873273    9.310056
    0.877077    9.314842
    0.880881    9.319622
    0.884685    9.324394
    0.888488    9.329160
    0.892292    9.333918
    0.896096    9.338670
    0.899900    9.343415
    0.903704    9.348153
    0.907507    9.352885
    0.911311    9.357610
    0.915115    9.362327
    0.918919    9.367038
    0.922723    9.371742
    0.926527    9.376440
    0.930330    9.381130
    0.934134    9.385814
    0.937938    9.390491
    0.941742    9.395161
    0.945546    9.399824
    0.949349    9.404480
    0.953153    9.409130
    0.956957    9.413773
    0.960761    9.418409
    0.964565    9.423038
    0.968368    9.427660
    0.972172    9.432275
    0.975976    9.436884
    0.979780    9.441486
    0.983584    9.446081
    0.987387    9.450669
    0.991191    9.455250
    0.994995    9.459825
    0.998799    9.464392
    1.002603    9.468953
    1.006406    9.473507
    1.010210    9.478055
    1.014014    9.482595
    1.017818    9.487129
    1.021622    9.491655
    1.025425    9.496175
    1.029229    9.500688
    1.033033    9.505195
    1.036837    9.509694
    1.040641    9.514187
    1.044444    9.518672
    1.048248    9.523151
    1.052052    9.527624
    1.055856    9.532089
    1.059660    9.536547
    1.063463    9.540999
    1.067267    9.545444
    1.071071    9.549882
    1.074875    9.554313
    1.078679    9.558738
    1.082482    9.563155
    1.086286    9.567566
    1.090090    9.571970
    1.093894    9.576367
    1.097698    9.580757
    1.101501    9.585141
    1.105305    9.589517
    1.109109    9.593887
    1.112913    9.598250
    1.116717    9.602606
    1.120521    9.606956
    1.124324    9.611298
    1.128128    9.615634
    1.131932    9.619963
    1.135736    9.624285
    1.139540    9.628600
    1.143343    9.632908
    1.147147    9.637210
    1.150951    9.641505
    1.154755    9.645793
    1.158559    9.650074
    1.162362    9.654348
    1.166166    9.658615
    1.169970    9.662876
    1.173774    9.667130
    1.177578    9.671377
    1.181381    9.675617
    1.185185    9.679850
    1.188989    9.684077
    1.192793    9.688297
    1.196597    9.692510
    1.200400    9.696716
    1.204204    9.700915
    1.208008    9.705107
    1.211812    9.709293
    1.215616    9.713472
    1.219419    9.717644
    1.223223    9.721809
    1.227027    9.725967
    1.230831    9.730118
    1.234635    9.734263
    1.238438    9.738401
    1.242242    9.742532
    1.246046    9.746656
    1.249850    9.750773
    1.253654    9.754884
    1.257458    9.758988
    1.261261    9.763085
    1.265065    9.767175
    1.268869    9.771258
    1.272673    9.775334
    1.276477    9.779404
    1.280280    9.783467
    1.284084    9.787523
    1.287888    9.791572
    1.291692    9.795614
    1.295496    9.799650
    1.299299    9.803678
    1.303103    9.807700
    1.306907    9.811715
    1.310711    9.815723
    1.314515    9.819725
    1.318318    9.823719
    1.322122    9.827707
    1.325926    9.831688
    1.329730    9.835662
    1.333534    9.839629
    1.337337    9.843589
    1.341141    9.847543
    1.344945    9.851490
    1.348749    9.855430
    1.352553    9.859363
    1.356356    9.863289
    1.360160    9.867209
    1.363964    9.871121
    1.367768    9.875027
    1.371572    9.878926
    1.375375    9.882818
    1.379179    9.886704
    1.382983    9.890582
    1.386787    9.894454
    1.390591    9.898319
    1.394394    9.902177
    1.398198    9.906028
    1.402002    9.909873
    1.405806    9.913710
    1.409610    9.917541
    1.413413    9.921365
    1.417217    9.925182
    1.421021    9.928992
    1.424825    9.932796
    1.428629    9.936593
    1.432432    9.940382
    1.436236    9.944166
    1.440040    9.947942
    1.443844    9.951711
    1.447648    9.955474
    1.451451    9.959229
    1.455255    9.962978
    1.459059    9.966720
    1.462863    9.970456
    1.466667    9.974184
    1.470471    9.977906
    1.474274    9.981620
    1.478078    9.985328
    1.481882    9.989030
    1.485686    9.992724
    1.489490    9.996411
    1.493293   10.000092
    1.497097   10.003766
    1.500901   10.007433
    1.504705   10.011093
    1.508509   10.014746
    1.512312   10.018393
    1.516116   10.022033
    1.519920   10.025666
    1.523724   10.029292
    1.527528   10.032911
    1.531331   10.036523
    1.535135   10.040129
    1.538939   10.043728
    1.542743   10.047320
    1.546547   10.050905
    1.550350   10.054483
    1.554154   10.058055
    1.557958   10.061620
    1.561762   10.065177
    1.565566   10.068728
    1.569369   10.072273
    1.573173   10.075810
    1.576977   10.079341
    1.580781   10.082864
    1.584585   10.086381
    1.588388   10.089891
    1.592192   10.093395
    1.595996   10.096891
    1.599800   10.100381
    1.603604   10.103863
    1.607407   10.107339
    1.611211   10.110809
    1.615015   10.114271
    1.618819   10.117726
    1.622623   10.121175
    1.626426   10.124617
    1.630230   10.128052
    1.634034   10.131480
    1.637838   10.134902
    1.641642   10.138316
    1.645445   10.141724
    1.649249   10.145125
    1.653053   10.148519
    1.656857   10.151906
    1.660661   10.155287
    1.664464   10.158660
    1.668268   10.162027
    1.672072   10.165387
    1.675876   10.168740
    1.679680   10.172087
    1.683484   10.175426
    1.687287   10.178759
    1.691091   10.182085
    1.694895   10.185404
    1.698699   10.188716
    1.702503   10.192022
    1.706306   10.195320
    1.710110   10.198612
    1.713914   10.201897
    1.717718   10.205175
    1.721522   10.208446
    1.725325   10.211711
    1.729129   10.214968
    1.732933   10.218219
    1.736737   10.221463
    1.740541   10.224700
    1.744344   10.227931
    1.748148   10.231154
    1.751952   10.234371
    1.755756   10.237581
    1.759560   10.240784
    1.763363   10.243980
    1.767167   10.247169
    1.770971   10.250352
    1.774775   10.253528
    1.778579   10.256697
    1.782382   10.259859
    1.786186   10.263014
    1.789990   10.266163
    1.793794   10.269304
    1.797598   10.272439
    1.801401   10.275567
    1.805205   10.278688
    1.809009   10.281803
    1.812813   10.284910
    1.816617   10.288011
    1.820420   10.291105
    1.824224   10.294192
    1.828028   10.297272
    1.831832   10.300345
    1.835636   10.303412
    1.839439   10.306472
    1.843243   10.309525
    1.847047   10.312571
    1.850851   10.315610
    1.854655   10.318643
    1.858458   10.321668
    1.862262   10.324687
    1.866066   10.327699
    1.869870   10.330704
    1.873674   10.333703
    1.877477   10.336694
    1.881281   10.339679
    1.885085   10.342657
    1.888889   10.345628
    1.892693   10.348592
    1.896497   10.351550
    1.900300   10.354500
    1.904104   10.357444
    1.907908   10.360381
    1.911712   10.363311
    1.915516   10.366234
    1.919319   10.369151
    1.923123   10.372060
    1.926927   10.374963
    1.930731   10.377859
    1.934535   10.380749
    1.938338   10.383631
    1.942142   10.386506
    1.945946   10.389375
    1.949750   10.392237
    1.953554   10.395092
    1.957357   10.397940
    1.961161   10.400782
    1.964965   10.403616
    1.968769   10.406444
    1.972573   10.409265
    1.976376   10.412079
    1.980180   10.414887
    1.983984   10.417687
    1.987788   10.420481
    1.991592   10.423268
    1.995395   10.426048
    1.999199   10.428821
    2.003003   10.431587
    2.006807   10.434347
    2.010611   10.437100
    2.014414   10.439845
    2.018218   10.442585
    2.022022   10.445317
    2.025826   10.448042
    2.029630   10.450761
    2.033433   10.453473
    2.037237   10.456178
    2.041041   10.458876
    2.044845   10.461567
    2.048649   10.464252
    2.052452   10.466929
    2.056256   10.469600
    2.060060   10.472264
    2.063864   10.474921
    2.067668   10.477572
    2.071471   10.480215
    2.075275   10.482852
    2.079079   10.485482
    2.082883   10.488105
    2.086687   10.490721
    2.090490   10.493331
    2.094294   10.495933
    2.098098   10.498529
    2.101902   10.501118
    2.105706   10.503700
    2.109510   10.506276
    2.113313   10.508844
    2.117117   10.511406
    2.120921   10.513961
    2.124725   10.516509
    2.128529   10.519050
    2.132332   10.521584
    2.136136   10.524112
    2.139940   10.526633
    2.143744   10.529146
    2.147548   10.531654
    2.151351   10.534154
    2.155155   10.536647
    2.158959   10.539134
    2.162763   10.541614
    2.166567   10.544087
    2.170370   10.546553
    2.174174   10.549012
    2.177978   10.551465
    2.181782   10.553910
    2.185586   10.556349
    2.189389   10.558781
    2.193193   10.561207
    2.196997   10.563625
    2.200801   10.566036
    2.204605   10.568441
    2.208408   10.570839
    2.212212   10.573230
    2.216016   10.575615
    2.219820   10.577992
    2.223624   10.580363
    2.227427   10.582726
    2.231231   10.585083
    2.235035   10.587434
    2.238839   10.589777
    2.242643   10.592113
    2.246446   10.594443
    2.250250   10.596766
    2.254054   10.599082
    2.257858   10.601391
    2.261662   10.603694
    2.265465   10.605989
    2.269269   10.608278
    2.273073   10.610560
    2.276877   10.612835
    2.280681   10.615103
    2.284484   10.617365
    2.288288   10.619619
    2.292092   10.621867
    2.295896   10.624108
    2.299700   10.626343
    2.303504   10.628570
    2.307307   10.630790
    2.311111   10.633004
    2.314915   10.635211
    2.318719   10.637411
    2.322523   10.639604
    2.326326   10.641791
    2.330130   10.643970
    2.333934   10.646143
    2.337738   10.648309
    2.341542   10.650468
    2.345345   10.652620
    2.349149   10.654766
    2.352953   10.656905
    2.356757   10.659036
    2.360561   10.661161
    2.364364   10.663280
    2.368168   10.665391
    2.371972   10.667495
    2.375776   10.669593
    2.379580   10.671684
    2.383383   10.673768
    2.387187   10.675845
    2.390991   10.677916
    2.394795   10.679979
    2.398599   10.682036
    2.402402   10.684086
    2.406206   10.686129
    2.410010   10.688165
    2.413814   10.690195
    2.417618   10.692218
    2.421421   10.694233
    2.425225   10.696242
    2.429029   10.698245
    2.432833   10.700240
    2.436637   10.702229
    2.440440   10.704210
    2.444244   10.706185
    2.448048   10.708153
    2.451852   10.710114
    2.455656   10.712069
    2.459459   10.714016
    2.463263   10.715957
    2.467067   10.717891
    2.470871   10.719818
    2.474675   10.721739
    2.478478   10.723652
    2.482282   10.725559
    2.486086   10.727459
    2.489890   10.729352
    2.493694   10.731238
    2.497497   10.733117
    2.501301   10.734990
    2.505105   10.736855
    2.508909   10.738714
    2.512713   10.740566
    2.516516   10.742412
    2.520320   10.744250
    2.524124   10.746082
    2.527928   10.747907
    2.531732   10.749724
    2.535536   10.751536
    2.539339   10.753340
    2.543143   10.755137
    2.546947   10.756928
    2.550751   10.758712
    2.554555   10.760489
    2.558358   10.762259
    2.562162   10.764023
    2.565966   10.765779
    2.569770   10.767529
    2.573574   10.769272
    2.577377   10.771008
    2.581181   10.772737
    2.584985   10.774460
    2.588789   10.776175
    2.592593   10.777884
    2.596396   10.779586
    2.600200   10.781281
    2.604004   10.782969
    2.607808   10.784651
    2.611612   10.786326
    2.615415   10.787993
    2.619219   10.789654
    2.623023   10.791309
    2.626827   10.792956
    2.630631   10.794597
    2.634434   10.796230
    2.638238   10.797857
    2.642042   10.799477
    2.645846   10.801091
    2.649650   10.802697
    2.653453   10.804297
